Date,Sharpe,HRP,Sortino,SPY
2024-02-08,129467.10692519201,125220.38181904728,129602.33981644527,132843.30099944145
2024-02-09,130737.3057589576,125446.30081383522,130911.15657214576,133611.06374156947
2024-02-12,130633.5851053573,125137.65954462747,130542.76197078582,133552.40631697897
2024-02-13,129887.50322474052,124318.24432963974,129714.65006564275,131712.97735958817
2024-02-14,132368.67014327622,125127.8476623036,132290.67193301604,132909.94994432668
2024-02-15,132842.30692431628,126268.265018105,132934.94976592454,133826.98525748393
2024-02-16,132919.54302498564,126019.11365621845,132955.47184579255,133160.5376052856
2024-02-20,130171.69397278155,125308.63039682076,130259.68645359238,132427.43264887115
2024-02-21,128871.98862181541,125945.80091844998,129023.89422158452,132547.38904660143
2024-02-22,136930.84669982208,128262.45969576672,136677.6299141568,135290.51182510925
2024-02-23,136835.7166494146,128161.98709372076,136491.69204310788,135383.83539474415
2024-02-26,136687.8682110533,127313.25335847856,136500.11188262608,134887.9933259101
2024-02-27,136386.17878667492,126940.21003447073,136258.44949218803,135138.5642682073
2024-02-28,135143.8156364463,126719.15265857193,135217.89995485914,134959.96716454823
2024-02-29,136096.62636670744,126590.12045937679,136169.94971103081,135445.14272721478
2024-03-01,139674.3617304562,127233.41296415757,140183.80902809376,136716.7306991408
2024-03-04,140642.4922955216,126095.31356619508,140961.0982817967,136570.10803599175
2024-03-05,139322.96400052073,124900.23242947497,139109.36355180293,135205.22993175426
2024-03-06,140997.96329650033,125309.61319464463,140516.2422737479,135890.32725108403
2024-03-07,144133.0026746961,125858.75363337722,143590.84570869757,137239.23903339368
2024-03-08,140798.73716826664,125654.12970942384,139879.9888078332,136415.50221187877
2024-03-11,137645.98896836152,125890.48718821007,136538.77079464935,136298.20408135952
2024-03-12,142311.16922994348,126768.43285067394,140825.9664583293,137764.39727552672
2024-03-13,141766.41257764024,127065.31323326893,140001.64245586985,137548.48411894307
2024-03-14,140766.81417346868,127615.60066430786,138978.79399151867,137276.5467269874
2024-03-15,139692.75630842065,127041.35037112942,137777.9879808424,136333.93186142217
2024-03-18,141424.01880342828,127963.67869209393,139687.230307604,137144.19344160322
2024-03-19,142481.91993910132,128957.92239651947,140577.74881119974,137906.3219947368
2024-03-20,143887.07134242746,130140.4599986621,142303.81669309433,139181.85557082508
2024-03-21,144441.09954916322,130155.91680689064,143252.3930837664,139641.81939164115
2024-03-22,145657.31082738278,129523.36953559576,144213.84789292092,139377.07102421846
2024-03-25,145425.11271438788,128962.34208306295,143907.0183602677,138991.998448508
2024-03-26,144065.15143156034,128941.30871915292,142696.84478308517,138735.29175736522
2024-03-27,143371.32675925977,129715.37070071862,142151.64737887765,139901.1759906641
2024-03-28,142929.55363273196,130040.87096508023,141614.74279667975,139874.46792859107
2024-04-01,142697.82485567767,130021.73963145482,141455.34751295258,139631.11944815022
2024-04-02,142327.4880858196,129209.48150294267,141182.8432320396,138743.2999963217
2024-04-03,143433.6380056387,129557.64158330613,142521.8743129634,138895.74075374394
2024-04-04,141749.46124324502,128263.84461711058,140813.97970297546,137200.35142626884
2024-04-05,144841.06648977543,129714.99190411373,143768.39391446608,138633.67573152485
2024-04-08,143613.8543928823,129484.5492066206,142770.28557391162,138711.21688451065
2024-04-09,142012.3102483548,129396.75795684158,141190.17136078837,138871.64080289684
2024-04-10,142799.3909626794,128446.92298635727,141727.36255408195,137481.13299026623
2024-04-11,144604.42182286864,129130.70137045455,143778.18309396607,138518.6931356517
2024-04-12,141988.99222243368,127497.85841691372,140886.4152744914,136606.69682713223
2024-04-15,140013.01453192244,126315.03102193911,138683.07346461274,134895.27430308243
2024-04-16,140752.54632937358,126408.87758676114,139064.79289796067,134649.25083676886
2024-04-17,139216.90451779668,126496.96768699124,137379.85744992306,133852.3641859515
2024-04-18,139957.6205760506,126701.55731858706,137666.53451103286,133576.94095303045
2024-04-19,134170.36537410063,126580.36597973587,132099.10607234974,132411.04000106984
